title,price,currency,year,mileage,brand,model,trim,body_type,fuel_type,transmission,color,interior_color,cylinders,horsepower,engine_cc,doors,specs_origin,seller_type,location,url,photos_count,has_warranty,source,scraped_at,extraction_method,dealer,publish_date,is_new,listing_id,brand_origin,brand_tier,price_tier,car_age,price_per_age,mileage_per_year,quality_score,price_vs_market,cross_source_flag
BYD Song Plus 2025 - Brand New - Chinese Specs,90000.0,AED,2025.0,0.0,BYD,Song Plus,Other,Suv,Hybrid,Automatic,White,Other Color,4,Unknown,Unknown,5+ doors,Unknown,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/byd/song-plus/2026/5/8/byd-song-plus-2025-brand-new-chinese-specs-2-831---cc8bd75e0c1d4ec2993167b89ce35818/,18,True,dubizzle,2026-05-11T12:12:16.249338,next_data,Al Bouroj Motors F.Z.E,2026-05-11T12:08:50,,,Chinese,mainstream,Mid-Range,1.0,90000.0,0.0,91,0.29,Normal
"AED 1,056 / month I Warranty Included",68900.0,AED,2024.0,50.0,Nissan,Kicks,SL,Suv,Petrol,Automatic,Grey,Brown,4,100 - 199 HP,1500 - 1999 cc,4 door,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/nissan/kicks/2025/3/18/aed-1234-month-i-warranty-included-2-123---be5d67686700439caa169b7290602ce8/,14,True,dubizzle,2026-05-11T12:12:16.249347,next_data,AUTO CENTRAL,2026-05-11T12:08:31,,,Japanese,mainstream,Mid-Range,2.0,34450.0,25.0,91,2.55,Normal
BYD Han L 200KM DM-i | Intelligent Hybrid Executive Sedan | UAE Available,118000.0,AED,2025.0,0.0,BYD,Han,Flagship Edition,Sedan,Hybrid,Automatic,Black,Orange,4,100 - 199 HP,1000 - 1499 cc,4 door,Unknown,DL,"Dubai, Jebel Ali",https://dubai.dubizzle.com/motors/used-cars/byd/han/2026/5/11/byd-han-l-200km-dm-i-intelligent-hybrid-ex-2-665---f2e537156b6a4278bcc9fe662ca6ad96/,8,True,dubizzle,2026-05-11T12:12:16.249414,next_data,Magic Bridge Auto FZE,2026-05-11T11:51:25,,,Chinese,mainstream,Mid-Range,1.0,118000.0,0.0,91,0.31,Normal
"AED 2,331 / month I Warranty Included",152000.0,AED,2024.0,50.0,Nissan,Pathfinder,SV,Suv,Petrol,Automatic,Grey,Grey,6,200 - 299 HP,3500 - 3999 cc,5+ doors,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/nissan/pathfinder/2025/12/10/aed-2499-month-i-warranty-included-3-052---541926713d844252943edabc8a71faf2/,13,True,dubizzle,2026-05-11T12:12:16.249272,next_data,Al Masaood Automobiles,2026-05-11T12:10:54,,,Japanese,mainstream,Premium,2.0,76000.0,25.0,91,,Normal
"AED 1,838 / month I Warranty Included",119900.0,AED,2024.0,50.0,Nissan,Xterra,Platinum,Suv,Petrol,Automatic,White,Red,4,100 - 199 HP,2500 - 2999 cc,5+ doors,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/nissan/xterra/2026/5/8/aed-1838-month-i-warranty-included-3-617---350672c87f6b44cb9a351499f74fa52b/,14,True,dubizzle,2026-05-11T12:12:16.249313,next_data,AUTO CENTRAL,2026-05-11T12:09:57,,,Japanese,mainstream,Mid-Range,2.0,59950.0,25.0,91,,Normal
"AED 2,668 / month I Warranty Included",174000.0,AED,2024.0,50.0,Infiniti,QX50,Autograph,Suv,Petrol,Automatic,White,White,4,200 - 299 HP,2000 - 2499 cc,4 door,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/infiniti/qx50/2025/1/23/aed-3143-month-i-warranty-included-2-623---ca83903b0d3a454dba70488a508e397f/,14,True,dubizzle,2026-05-11T12:12:16.249322,next_data,AUTO CENTRAL,2026-05-11T12:09:01,,,Japanese,premium,Premium,2.0,87000.0,25.0,91,1.4,Above Market
"Kia Sportage 1.5L Turbo, Color White, Model 2025
 WITH Panoramic Roof, 360 Camera",75500.0,AED,2025.0,0.0,Kia,Sportage,Other,Hatchback,Petrol,Automatic,White,Beige,4,100 - 199 HP,1000 - 1499 cc,4 door,Unknown,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/kia/sportage/2026/2/28/kia-sportage-15l-turbo-color-white-model-2-2-547---1745bc1d99774bf18a1a69de30915ccc/,20,True,dubizzle,2026-05-11T12:12:16.249391,next_data,NAJEM MOTORS FZE,2026-05-11T12:00:11,,,Korean,mainstream,Mid-Range,1.0,75500.0,0.0,91,0.0,Normal
GCC GARGASH WARRANTY + SERVICE CONTRACT - 2024 MERCEDES BENZ GLE 450 4MATIC - NIGHT PACKAGE,395000.0,AED,2024.0,50.0,Mercedes-Benz,E-Class,GLE 450 4Matic,Suv,Petrol,Automatic,Black,Brown,6,300 - 399 HP,3000 - 3499 cc,5+ doors,GCC Spec,DL,"Dubai, Al Quoz",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/gle-class/2026/4/6/gcc-gargash-warranty-service-contract-2024-2-202---dc446935111f4a3593d45e636f687396/,20,True,dubizzle,2026-05-11T12:12:16.249481,next_data,GCC Super Motors L.L.C,2026-05-11T11:11:31,,,German,luxury,Luxury,2.0,197500.0,25.0,96,,Normal
Lynk &amp; Co 900 2.0 Ultra 2025 In-stock in DUBAI,186000.0,AED,2025.0,0.0,Unknown,Unknown,2.0 Ultra,Suv,Hybrid,Automatic,Silver,Orange,4,200 - 299 HP,1500 - 1999 cc,5+ doors,Unknown,DL,"Dubai, Jebel Ali",https://dubai.dubizzle.com/motors/used-cars/lynk-co/900/2026/5/11/lynk-co-900-20-ultra-2025-in-stock-in-duba-2-752---e71b1f90118141b182d72f65e424fedb/,10,True,dubizzle,2026-05-11T12:12:16.249473,next_data,Magic Bridge Auto FZE,2026-05-11T11:17:39,,,Unknown,Unknown,Premium,1.0,186000.0,0.0,71,,Normal
"AED 2,331 / month I Warranty Included",152000.0,AED,2024.0,0.0,Nissan,Pathfinder,SV,Suv,Petrol,Automatic,White,Grey,4,200 - 299 HP,3500 - 3999 cc,5+ doors,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/nissan/pathfinder/2025/8/19/aed-2499-month-i-warranty-included-2-191---c0b26536544542178433f88a2297ec5d/,14,True,dubizzle,2026-05-11T12:12:16.249330,next_data,AUTO CENTRAL,2026-05-11T12:08:55,,,Japanese,mainstream,Premium,2.0,76000.0,0.0,91,,Normal
